time,density,nonezero,
53,0.2,0.17,
54,0.2,0.195,
55,0.2,0.295,
56,0.2,0.16,
57,0.2,0.195,
58,0.2,0.135,
59,0.2,0.225,
60,0.2,0.245,
61,0.2,0.165,
62,0.2,0.23,
63,0.2,0.215,
64,0.2,0.25,
65,0.2,0.175,
66,0.2,0.245,
67,0.2,0.22,
68,0.2,0.215,
69,0.2,0.165,
70,0.2,0.195,
71,0.2,0.185,
72,0.2,0.18,
73,0.2,0.14,
74,0.2,0.235,
75,0.2,0.15,
76,0.2,0.25,
77,0.2,0.14,
78,0.2,0.19,
79,0.2,0.23,
80,0.2,0.21,
81,0.2,0.21,
82,0.2,0.165,
83,0.2,0.2,
84,0.2,0.235,
85,0.2,0.2,
86,0.2,0.135,
87,0.2,0.225,
88,0.2,0.24,
89,0.2,0.195,
90,0.2,0.21,
91,0.2,0.285,
92,0.2,0.205,
93,0.2,0.175,
94,0.2,0.195,
95,0.2,0.185,
96,0.2,0.165,
97,0.2,0.195,
98,0.2,0.18,
99,0.2,0.185,
100,0.2,0.235,
101,0.2,0.215,
102,0.2,0.24,
103,0.2,0.195,
104,0.2,0.235,
105,0.2,0.185,
106,0.2,0.225,
107,0.2,0.25,
108,0.2,0.205,
109,0.2,0.21,
110,0.2,0.225,
111,0.2,0.205,
112,0.2,0.215,
113,0.2,0.165,
114,0.2,0.235,
115,0.2,0.175,
116,0.2,0.2,
117,0.2,0.22,
118,0.2,0.17,
119,0.2,0.155,
120,0.2,0.145,
121,0.2,0.235,
122,0.2,0.21,
123,0.2,0.22,
124,0.2,0.155,
125,0.2,0.245,
126,0.2,0.21,
127,0.2,0.22,
128,0.2,0.225,
129,0.2,0.235,
130,0.2,0.195,
131,0.2,0.18,
132,0.2,0.18,
133,0.2,0.16,
134,0.2,0.225,
135,0.2,0.16,
136,0.2,0.2,
137,0.2,0.175,
138,0.2,0.21,
139,0.2,0.185,
140,0.2,0.205,
141,0.2,0.225,
142,0.2,0.195,
143,0.2,0.19,
144,0.2,0.23,
145,0.2,0.195,
146,0.2,0.28,
147,0.2,0.215,
148,0.2,0.155,
149,0.2,0.22,
150,0.2,0.27,
151,0.2,0.17,
152,0.2,0.21,
153,0.2,0.225,
154,0.2,0.185,
155,0.2,0.245,
156,0.2,0.195,
157,0.2,0.165,
158,0.2,0.23,
159,0.2,0.23,
160,0.2,0.22,
161,0.2,0.235,
162,0.2,0.18,
163,0.2,0.21,
164,0.2,0.185,
165,0.2,0.22,
166,0.2,0.205,
167,0.2,0.17,
168,0.2,0.245,
169,0.2,0.21,
170,0.2,0.215,
171,0.2,0.25,
172,0.2,0.205,
173,0.2,0.14,
174,0.2,0.17,
175,0.2,0.16,
176,0.2,0.19,
177,0.2,0.2,
178,0.2,0.2,
179,0.2,0.235,
180,0.2,0.21,
181,0.2,0.22,
182,0.2,0.22,
183,0.2,0.165,
184,0.2,0.22,
185,0.2,0.25,
186,0.2,0.25,
187,0.2,0.165,
188,0.2,0.185,
189,0.2,0.185,
190,0.2,0.225,
191,0.2,0.245,
192,0.2,0.22,
193,0.2,0.205,
194,0.2,0.235,
195,0.2,0.255,
196,0.2,0.2,
197,0.2,0.235,
198,0.2,0.245,
199,0.2,0.195,
200,0.2,0.195,
1,0.3,0.335,
2,0.3,0.32,
3,0.3,0.3,
4,0.3,0.345,
5,0.3,0.285,
6,0.3,0.27,
7,0.3,0.33,
8,0.3,0.315,
9,0.3,0.295,
10,0.3,0.315,
11,0.3,0.35,
12,0.3,0.3,
13,0.3,0.345,
14,0.3,0.31,
15,0.3,0.3,
16,0.3,0.305,
17,0.3,0.275,
18,0.3,0.275,
19,0.3,0.255,
20,0.3,0.31,
21,0.3,0.295,
22,0.3,0.305,
23,0.3,0.335,
24,0.3,0.295,
25,0.3,0.35,
26,0.3,0.27,
27,0.3,0.315,
28,0.3,0.29,
29,0.3,0.28,
30,0.3,0.32,
31,0.3,0.31,
32,0.3,0.29,
33,0.3,0.25,
34,0.3,0.32,
35,0.3,0.235,
36,0.3,0.32,
37,0.3,0.33,
38,0.3,0.365,
39,0.3,0.25,
40,0.3,0.31,
41,0.3,0.285,
42,0.3,0.31,
43,0.3,0.275,
44,0.3,0.265,
45,0.3,0.305,
46,0.3,0.28,
47,0.3,0.31,
48,0.3,0.3,
49,0.3,0.285,
50,0.3,0.29,
51,0.3,0.285,
52,0.3,0.28,
53,0.3,0.305,
54,0.3,0.315,
55,0.3,0.25,
56,0.3,0.35,
57,0.3,0.255,
58,0.3,0.34,
59,0.3,0.31,
60,0.3,0.285,
61,0.3,0.355,
62,0.3,0.24,
63,0.3,0.25,
64,0.3,0.27,
65,0.3,0.295,
66,0.3,0.35,
67,0.3,0.3,
68,0.3,0.285,
69,0.3,0.32,
70,0.3,0.225,
71,0.3,0.32,
72,0.3,0.225,
73,0.3,0.335,
74,0.3,0.31,
75,0.3,0.27,
76,0.3,0.33,
77,0.3,0.37,
78,0.3,0.295,
79,0.3,0.3,
80,0.3,0.29,
81,0.3,0.305,
82,0.3,0.275,
83,0.3,0.27,
84,0.3,0.265,
85,0.3,0.225,
86,0.3,0.275,
87,0.3,0.315,
88,0.3,0.295,
89,0.3,0.195,
90,0.3,0.295,
91,0.3,0.315,
92,0.3,0.34,
93,0.3,0.275,
94,0.3,0.3,
95,0.3,0.275,
96,0.3,0.27,
97,0.3,0.265,
98,0.3,0.32,
99,0.3,0.33,
100,0.3,0.33,
101,0.3,0.265,
102,0.3,0.3,
103,0.3,0.225,
104,0.3,0.295,
105,0.3,0.305,
106,0.3,0.28,
107,0.3,0.285,
108,0.3,0.32,
109,0.3,0.275,
110,0.3,0.33,
111,0.3,0.365,
112,0.3,0.33,
113,0.3,0.25,
114,0.3,0.28,
115,0.3,0.28,
116,0.3,0.315,
117,0.3,0.325,
118,0.3,0.26,
119,0.3,0.375,
120,0.3,0.34,
121,0.3,0.28,
122,0.3,0.295,
123,0.3,0.285,
124,0.3,0.3,
125,0.3,0.305,
126,0.3,0.3,
127,0.3,0.36,
128,0.3,0.335,
129,0.3,0.33,
130,0.3,0.335,
131,0.3,0.34,
132,0.3,0.33,
133,0.3,0.335,
134,0.3,0.3,
135,0.3,0.35,
136,0.3,0.305,
137,0.3,0.335,
138,0.3,0.32,
139,0.3,0.305,
140,0.3,0.255,
141,0.3,0.32,
142,0.3,0.335,
143,0.3,0.315,
144,0.3,0.335,
145,0.3,0.27,
146,0.3,0.29,
147,0.3,0.38,
148,0.3,0.34,
149,0.3,0.275,
150,0.3,0.325,
151,0.3,0.325,
152,0.3,0.28,
153,0.3,0.27,
154,0.3,0.35,
155,0.3,0.305,
156,0.3,0.265,
157,0.3,0.285,
158,0.3,0.285,
159,0.3,0.235,
160,0.3,0.285,
161,0.3,0.3,
162,0.3,0.285,
163,0.3,0.305,
164,0.3,0.325,
165,0.3,0.345,
166,0.3,0.23,
167,0.3,0.27,
168,0.3,0.28,
169,0.3,0.31,
170,0.3,0.285,
171,0.3,0.26,
172,0.3,0.315,
173,0.3,0.285,
174,0.3,0.31,
175,0.3,0.3,
176,0.3,0.315,
177,0.3,0.265,
178,0.3,0.325,
179,0.3,0.37,
180,0.3,0.3,
181,0.3,0.33,
182,0.3,0.275,
183,0.3,0.27,
184,0.3,0.28,
185,0.3,0.31,
186,0.3,0.29,
187,0.3,0.255,
188,0.3,0.3,
189,0.3,0.33,
190,0.3,0.295,
