benchmark,density,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary8,0.7,3,11.945,1,5,1600,1024,FulcrumOuter,11.945,decoder,MB/s
Binary8,0.7,3,12.043,1,6,1600,1024,FulcrumOuter,12.043,decoder,MB/s
Binary8,0.7,3,11.9644,1,7,1600,1024,FulcrumOuter,11.9644,decoder,MB/s
Binary8,0.7,3,11.9813,1,8,1600,1024,FulcrumOuter,11.9813,decoder,MB/s
Binary8,0.7,3,11.8686,1,9,1600,1024,FulcrumOuter,11.8686,decoder,MB/s
Binary8,0.7,3,11.3285,1,10,1600,1024,FulcrumOuter,11.3285,decoder,MB/s
Binary8,0.7,3,11.9207,1,11,1600,1024,FulcrumOuter,11.9207,decoder,MB/s
Binary8,0.7,3,11.362,1,12,1600,1024,FulcrumOuter,11.3731,decoder,MB/s
Binary8,0.7,3,12.0652,1,13,1600,1024,FulcrumOuter,12.0652,decoder,MB/s
Binary8,0.7,3,12.0294,1,14,1600,1024,FulcrumOuter,12.0294,decoder,MB/s
Binary8,0.7,3,12.0167,1,15,1600,1024,FulcrumOuter,12.0167,decoder,MB/s
Binary8,0.7,3,11.9905,1,16,1600,1024,FulcrumOuter,11.9905,decoder,MB/s
Binary8,0.7,3,12.0742,1,17,1600,1024,FulcrumOuter,12.0742,decoder,MB/s
Binary8,0.7,3,11.8801,1,18,1600,1024,FulcrumOuter,11.8801,decoder,MB/s
Binary8,0.7,3,11.8717,1,19,1600,1024,FulcrumOuter,11.8717,decoder,MB/s
Binary8,0.7,3,12.0755,1,20,1600,1024,FulcrumOuter,12.0755,decoder,MB/s
Binary8,0.7,3,11.5231,1,21,1600,1024,FulcrumOuter,11.5231,decoder,MB/s
Binary8,0.7,3,11.9555,1,22,1600,1024,FulcrumOuter,11.9555,decoder,MB/s
Binary8,0.7,3,11.9483,1,23,1600,1024,FulcrumOuter,11.9483,decoder,MB/s
Binary8,0.7,3,11.3077,1,24,1600,1024,FulcrumOuter,11.3077,decoder,MB/s
