benchmark,expansion,density,iterations,run_number,symbols,symbol_size,testcase,type,throughput,goodput,unit,
binary,1,0.200000,1,59,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,60,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,61,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,62,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,63,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,64,16,1600,FulcrumInner,encoder,441.379310,441.379310,Mbs,
binary,1,0.200000,1,65,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,66,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,67,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,68,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,69,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,70,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,71,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,72,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,73,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,74,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,75,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,76,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,77,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,78,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,79,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,80,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,81,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,82,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,83,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,84,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,85,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,86,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,87,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,88,16,1600,FulcrumInner,encoder,914.285714,914.285714,Mbs,
binary,1,0.200000,1,89,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,90,16,1600,FulcrumInner,encoder,853.333333,853.333333,Mbs,
binary,1,0.200000,1,91,16,1600,FulcrumInner,encoder,882.758621,882.758621,Mbs,
binary,1,0.200000,1,92,16,1600,FulcrumInner,encoder,673.684211,673.684211,Mbs,
