benchmark,density,expansion,goodput,iterations,run_number,symbol_size,symbols,testcase,throughput,type,unit
Binary,0.5,1,603.248,238,2,1600,16,FulcrumInner,603.248,encoder,MB/s
Binary,0.5,1,598.978,238,3,1600,16,FulcrumInner,598.978,encoder,MB/s
Binary,0.5,1,600.276,238,4,1600,16,FulcrumInner,600.276,encoder,MB/s
Binary,0.5,2,572.707,230,0,1600,16,FulcrumInner,572.707,encoder,MB/s
Binary,0.5,2,587.891,231,1,1600,16,FulcrumInner,587.891,encoder,MB/s
Binary,0.5,2,589.004,231,2,1600,16,FulcrumInner,589.004,encoder,MB/s
Binary,0.5,2,591.863,233,3,1600,16,FulcrumInner,591.863,encoder,MB/s
Binary,0.5,2,588.187,233,4,1600,16,FulcrumInner,588.187,encoder,MB/s
Binary,0.5,3,582.689,228,0,1600,16,FulcrumInner,582.689,encoder,MB/s
Binary,0.5,3,568.889,228,1,1600,16,FulcrumInner,568.889,encoder,MB/s
Binary,0.5,3,573.416,228,2,1600,16,FulcrumInner,573.416,encoder,MB/s
Binary,0.5,3,573.585,228,3,1600,16,FulcrumInner,573.585,encoder,MB/s
Binary,0.5,3,574.206,228,4,1600,16,FulcrumInner,574.206,encoder,MB/s
Binary,0.5,4,549.576,215,0,1600,16,FulcrumInner,549.576,encoder,MB/s
Binary,0.5,4,523.219,222,1,1600,16,FulcrumInner,523.219,encoder,MB/s
Binary,0.5,4,556.304,222,2,1600,16,FulcrumInner,556.304,encoder,MB/s
Binary,0.5,4,558.985,222,3,1600,16,FulcrumInner,558.985,encoder,MB/s
Binary,0.5,4,553.648,222,4,1600,16,FulcrumInner,553.648,encoder,MB/s
Binary,0.2,1,1320.83,579,0,1600,16,FulcrumInner,1651.04,decoder,MB/s
Binary,0.2,1,1464.81,579,1,1600,16,FulcrumInner,1647.91,decoder,MB/s
Binary,0.2,1,1282.55,579,2,1600,16,FulcrumInner,1763.5,decoder,MB/s
Binary,0.2,1,1627.72,657,3,1600,16,FulcrumInner,1729.45,decoder,MB/s
Binary,0.2,1,1573.95,657,4,1600,16,FulcrumInner,1672.32,decoder,MB/s
Binary,0.2,2,1315.75,552,0,1600,16,FulcrumInner,1480.22,decoder,MB/s
Binary,0.2,2,1298.63,561,1,1600,16,FulcrumInner,1785.62,decoder,MB/s
Binary,0.2,2,1380.81,565,2,1600,16,FulcrumInner,1639.71,decoder,MB/s
Binary,0.2,2,1420.69,565,3,1600,16,FulcrumInner,1687.06,decoder,MB/s
Binary,0.2,2,1293.39,565,4,1600,16,FulcrumInner,1535.9,decoder,MB/s
Binary,0.2,3,1167,504,0,1600,16,FulcrumInner,1677.57,decoder,MB/s
Binary,0.2,3,1238.35,504,1,1600,16,FulcrumInner,1547.94,decoder,MB/s
Binary,0.2,3,1198.73,531,2,1600,16,FulcrumInner,1573.33,decoder,MB/s
Binary,0.2,3,1225.2,531,3,1600,16,FulcrumInner,1761.23,decoder,MB/s
Binary,0.2,3,1193.68,531,4,1600,16,FulcrumInner,1641.31,decoder,MB/s
Binary,0.2,4,1045.15,431,0,1600,16,FulcrumInner,1567.72,decoder,MB/s
Binary,0.2,4,1195.84,476,1,1600,16,FulcrumInner,1569.54,decoder,MB/s
Binary,0.2,4,1146.12,476,2,1600,16,FulcrumInner,1647.55,decoder,MB/s
Binary,0.2,4,1115.95,534,3,1600,16,FulcrumInner,1464.69,decoder,MB/s
Binary,0.2,4,1039.02,534,4,1600,16,FulcrumInner,1623.47,decoder,MB/s
Binary,0.3,1,1531.04,630,0,1600,16,FulcrumInner,1626.73,decoder,MB/s
Binary,0.3,1,1455.6,630,1,1600,16,FulcrumInner,1819.49,decoder,MB/s
Binary,0.3,1,1503.36,630,2,1600,16,FulcrumInner,1597.32,decoder,MB/s
Binary,0.3,1,1385.91,634,3,1600,16,FulcrumInner,1819.01,decoder,MB/s
Binary,0.3,1,1330.36,634,4,1600,16,FulcrumInner,1746.1,decoder,MB/s
Binary,0.3,2,1303.68,523,0,1600,16,FulcrumInner,1629.6,decoder,MB/s
Binary,0.3,2,1162.38,587,1,1600,16,FulcrumInner,1743.56,decoder,MB/s
Binary,0.3,2,1407.04,587,2,1600,16,FulcrumInner,1758.8,decoder,MB/s
Binary,0.3,2,1361.65,587,3,1600,16,FulcrumInner,1787.17,decoder,MB/s
Binary,0.3,2,1393.68,594,4,1600,16,FulcrumInner,1567.89,decoder,MB/s
Binary,0.3,3,1105.02,485,0,1600,16,FulcrumInner,1657.53,decoder,MB/s
Binary,0.3,3,1226.03,485,1,1600,16,FulcrumInner,1609.16,decoder,MB/s
Binary,0.3,3,1127.39,485,2,1600,16,FulcrumInner,1761.55,decoder,MB/s
Binary,0.3,3,1331.68,527,3,1600,16,FulcrumInner,1664.59,decoder,MB/s
Binary,0.3,3,1244,527,4,1600,16,FulcrumInner,1632.75,decoder,MB/s
Binary,0.3,4,1184.95,470,0,1600,16,FulcrumInner,1555.25,decoder,MB/s
Binary,0.3,4,1126.07,500,1,1600,16,FulcrumInner,1548.34,decoder,MB/s
Binary,0.3,4,1161.63,500,2,1600,16,FulcrumInner,1669.84,decoder,MB/s
Binary,0.3,4,1078.35,500,3,1600,16,FulcrumInner,1550.13,decoder,MB/s
Binary,0.3,4,1163.32,500,4,1600,16,FulcrumInner,1454.15,decoder,MB/s
Binary,0.4,1,1155.67,574,0,1600,16,FulcrumInner,1733.51,decoder,MB/s
Binary,0.4,1,1517.09,637,1,1600,16,FulcrumInner,1801.54,decoder,MB/s
Binary,0.4,1,1551.29,637,2,1600,16,FulcrumInner,1842.16,decoder,MB/s
Binary,0.4,1,1481.66,637,3,1600,16,FulcrumInner,1759.48,decoder,MB/s
Binary,0.4,1,1591.72,637,4,1600,16,FulcrumInner,1890.17,decoder,MB/s
Binary,0.4,2,1400.58,550,0,1600,16,FulcrumInner,1750.72,decoder,MB/s
Binary,0.4,2,1297.88,559,1,1600,16,FulcrumInner,1541.23,decoder,MB/s
Binary,0.4,2,1337.42,566,2,1600,16,FulcrumInner,1671.77,decoder,MB/s
Binary,0.4,2,1382.33,566,3,1600,16,FulcrumInner,1641.52,decoder,MB/s
Binary,0.4,2,1231.38,566,4,1600,16,FulcrumInner,1693.14,decoder,MB/s
Binary,0.4,3,1127.03,473,0,1600,16,FulcrumInner,1479.23,decoder,MB/s
Binary,0.4,3,1183.89,473,1,1600,16,FulcrumInner,1553.85,decoder,MB/s
Binary,0.4,3,1117.53,509,2,1600,16,FulcrumInner,1606.45,decoder,MB/s
